카드명,카드회사,혜택1,혜택2,혜택3
신한카드 Mr.Life,신한카드,공과금 10%,"마트,편의점 10%",식음료 10%
삼성카드 taptap O,삼성카드,스타벅스 50%,대중교통 10%,"CGV, 롯데시네마 5,000원"
삼성카드 & MILEAGE PLATINUM (스카이패스),삼성카드,"1,000원당 1마일",커피/주유 2마일,인천공항 라운지
KB국민 My WE:SH 카드,KB국민카드,KB Pay 10%,음식점 10%,서비스팩 3개 중 1개
현대카드 M,현대카드,국내외 가맹점 1.5%,온라인 쇼핑몰・일반음식점 5%,해외 가맹점 5%
신한카드 처음,신한카드,음식점·카페·편의점·온라인쇼핑 5%,생활·여행·패션 5%,정기결제 최대 20%
LOCA LIKIT 1.2,롯데카드,모든가맹점 1.2%,온라인 1.5%,
DA카드의정석Ⅱ,우리카드,모든가맹점 0.8%,생활업종 1.3%,국내 공항라운지 무료
JADE Classic,하나카드,바우처 최대 10만원,전세계 공항라운지 연 3회 무료,국내외 가맹점 1%
신한카드 Deep Oil,신한카드,4개정유사 10%,차량서비스 10%,편의점/커피/택시 5%
BC 바로 클리어 플러스,BC 바로카드,점심식사/배달앱 7%,온라인쇼핑 10%,휴대폰요금/스트리밍 10%
카드의정석 EVERY MILE SKYPASS,우리카드,SKYPASS 최대 2마일리지,해외이용수수료 0.3%,국내 공항라운지 동반 1인 동시 이용
현대카드ZERO Edition3(할인형),현대카드,국내외 가맹점 0.8%,,
카드의정석 TEN,우리카드,커피 10%,편의점 10%,음식점/주점 1%
LOCA 365 카드,롯데카드,"아파트관리비, 공과금 10%","교통, 통신, 배달앱 10%","스트리밍 1,500원"
올바른 FLEX 카드,NH농협카드,커피 50%,스트리밍 20%,영화 30%
현대카드 Summit,현대카드,국내외 가맹점 1.5%,공항라운지 무료,병원・약국 5%
삼성 iD SIMPLE 카드,삼성카드,국내 외 가맹점 0.7%·1%,온라인쇼핑몰 멤버십 50%,"영화 3,000원"
현대카드 MX Black Edition2,현대카드,국내외 가맹점 1%,공항라운지 무료,
신한카드 The BEST-F,신한카드,캐시백형 1%,"대한항공형 1,500원/1마일",기프트옵션 1회/연
하나 스카이패스 아멕스 플래티늄 카드,하나카드,국내 이용금액 1천원 당 1마일리지,해외 이용금액 1천원 당 2마일리지,인천공항 라운지 무료서비스
굿데이올림카드,KB국민카드,주유 60원/L,통신요금 10%,대형마트 10%
삼성 iD GLOBAL 카드,삼성카드,해외 이용 2%,공항라운지 연 2회,디지털콘텐츠 50%
Easy all 티타늄카드,KB국민카드,20개 영역 중 선택형,택시 10%,온라인쇼핑 5%
American Express Blue,삼성카드,해외 5%,교통·통신 5%,편의점·배달앱 7%
American Express® Green Card Edition2,현대카드,바우처 연간 12만원,전 세계 공항라운지 연 5회,멤버십리워즈(MR) 최대 2MR
BC 바로 에어 플러스 스카이패스,BC 바로카드,1천원당 1마일리지,1백만원당 200마일리지,
아시아나 신한카드 Air 1.5,신한카드,"1,000원당 1.5마일","1,000원당 3마일",국내 공항라운지
네이버 현대카드,현대카드,네이버플러스멤버십 무료,네이버플러스멤버십 회원 5%,그외가맹점 1%
신한카드 Point Plan,신한카드,국내 가맹점 최대 3%,주말 외식비 1천 포인트,도시가스/전기요금 1천 포인트
디지로카 London,롯데카드,국내·해외 최대 0.7%,즉시결제 최대 1%,추가수수료없이 나누어
카드의정석 SHOPPING+,우리카드,온라인 쇼핑 10%,백화점・대형할인점・슈퍼마켓 등 10%,
현대카드Z family Edition2,현대카드,온라인쇼핑 10%,병원/약국 10%,생활요금 10%
다담카드,KB국민카드,교통/통신 10%,주유소/충전소 60원/L,생활/교육/쇼핑 등 적립팩
American Express® Gold Card Edition2,현대카드,바우처 연간 25만원,전 세계 공항라운지 연 10회,멤버십리워즈(MR) 최대 3MR
삼성 iD CLASSY 카드,삼성카드,"할인점 35,000원",국내외 가맹점 최대 2%,커피전문점 20%
I-Mileage (대한항공),IBK기업은행,국내・해외 가맹점 1마일리지,공항 라운지 무료 이용,스타벅스 4천원
K-패스 신한카드,신한카드,대중교통 10%,간편결제 5%,생활 부문 5%
올바른 NEW HAVE카드,NH농협카드,국내외가맹점 0.7%,이용금액 1위 3배,공항라운지 무료
zgm.the pay카드,NH농협카드,국내 전 가맹점 1.0%,해외 전 가맹점 1.0%,온라인 간편결제 최대 1.7%
우리 K-패스(신용),우리카드,대중교통 10%,자동결제업종 10%,페이코포인트 1%
BLISS.5 카드(마일리지),IBK기업은행,"1,500원당 1마일",바우처 최대 10만원,영화 2천원
대한항공카드 300,현대카드,연간 보너스 1만,1천원당 최대 3마일리지,직판 항공권 10만원
원더카드 (원더 Life),하나카드,넷플릭스・디즈니플러스 등 40%,아파트관리비・전기세・가스비 10%,대중교통 10%
The Easy카드,KB국민카드,전 가맹점 0.7%,적립형선택시 3%,할인형선택시 5%
삼성 iD ON 카드,삼성카드,많이쓰는 영역 자동맞춤 30%,교통/이동통신/스트리밍 10%,온라인간편결제/해외 3%·1%
BeV V카드(스카이패스형),KB국민카드,대한항공마일리지 1.2~3마일,프리미엄쿠폰 연 1회,해외 공항라운지 무료이용
ALL 우리카드 Infinite,우리카드,"ALL 리워드 포인트 14,000",아코르플러스 유료 멤버십 무료가입,"3,000원 당 최대 5 ALL 리워드 포인트"
Oil & Life카드(Oil카드),IBK기업은행,GS칼텍스(LPG포함) 120원/L,"CGV, 롯데시네마 2,000원",주요 놀이공원 50%
THE iD. PLATINUM(포인트),삼성카드,기프트 서비스 15만원 상당,국내 가맹점 1%,특별 가맹점 1.5%
현대카드ZERO Edition3(포인트형),현대카드,국내외 가맹점 1.2%,,
삼성 iD ALL 카드,삼성카드,많이 쓰는 영역 자동 맞춤 5%,주유/이동통신/아파트관리비 2.5%,국내외가맹점 0.5%
트래블월렛 우리카드,우리카드,트래블 포인트 최대 2.0%,해외 이용 수수료 면제,
청춘대로 톡톡카드,KB국민카드,스타벅스 50%,버거/패스트푸드 20%,간편결제Pay 10%
taptap DIGITAL,삼성카드,온라인간편결제 5%,스트리밍 50%,편의점 10%
CLUB SK 카드,하나카드,"SK텔레콤 요금 최대 15,000원",SK주유소 최대 150원/L,마트/학원 5~10%
카드의정석 EVERY DISCOUNT,우리카드,국내외 가맹점 0.8%,국내 온라인 간편결제 2%,
신한카드 RPM+ Platinum#,신한카드,모든주유소 40~150P/L,모든충전소 10~50P/L,모든가맹점 0.2~2%
JADE Prime,하나카드,바우처 20만원 상당,"전 세계 공항라운지 연 6회, 일 3회",국내 전 가맹점 최대 1.5%
GOAT BC 바로카드,BC 바로카드,국내 가맹점 최대 1.5%,국외 가맹점 최대 3%,연간사용액 3천만원 이상 시 10%
K-패스 (신용),IBK기업은행,대중교통 최대 300원,주유 40원/L,통신 3%
LOCA Professional,롯데카드,국내・해외 1%,즉시결제 추가 1%,
티머니 Pay & GO 신한카드,신한카드,"버스, 지하철 30%","고속버스, 택시 20%",이동통신요금 5%
"카드의정석 Dear, Shopper(디어쇼퍼)",우리카드,퍼스널 쇼핑 5%,국내 가맹점 1%,국내외 공항라운지 무료
taptap DRIVE,삼성카드,주유 리터당 60~150원,편의점 10%,커피전문점 10%
별다줄카드,NH농협카드,쇼핑 최대 14%,통신 5%,커피 5%
zgm.일본여행중 카드,NH농협카드,해외 결제 해외서비스,일본 오프라인 전매장 10%,공항라운지 무료
SKYPASS 롯데 아멕스카드,롯데카드,"1,000원당 국내 1마일","1,000원당 해외 2마일",SKYPASS 회원 할인
대한항공카드 120,현대카드,연간 보너스 6천,1천원당 최대 2마일리지,직판 항공권 5만원
모니모카드,삼성카드,스타벅스 50%,온라인쇼핑몰 7%,이동통신요금 10%
가온올림카드(실속형),KB국민카드,국내가맹점 0.7%,주말/공휴일 0.5%,음식·교통 0.5%
현대카드 MM,현대카드,국내외 가맹점 1.5%,온라인쇼핑몰・일반음식점 10%,해외 가맹점 10%
롯데백화점 롯데카드,롯데카드,롯데백화점 15%,롯데백화점 5%,롯데백화점 12개월
디지로카 Edu,롯데카드,"학원, 유치원 최대 7%",국내 가맹점 2~3개월,
신한카드 Deep On Platinum+,신한카드,국내 온라인 10%,4대 편의점 20%,항공권 10%
NH올원 Shopping&11번가카드(R2타입),NH농협카드,11번가 11~22%,기타 온라인쇼핑 7%,마트/병원/주유 등 5~10%
국민행복 삼성카드 V2,삼성카드,쇼핑 7%,보육 7%,생활요금 7%
하나 CLUB H 아메리칸 익스프레스 리저브 카드,하나카드,"국내 1,000원당 1마일리지","해외 1,000원당 2마일리지",인천공항 라운지 무료
始發(시발)카드,BC 바로카드,"배달앱 최대 1,800원","편의점 최대 1,800원",실적/한도없이 0.7%
I-Mileage (아시아나),IBK기업은행,국내・해외 가맹점 1.5마일리지,공항 라운지 무료 이용,스타벅스 4천원
HERITAGE Smart [대한항공 마일리지형],KB국민카드,할인 쿠폰 3가지,국내외가맹점 1천원당 1~2마일리지,KB Pay 2천원당 1마일리지
IBK무민카드(신용),IBK기업은행,주요 커피전문점 20%,"쿠팡, 티몬, 위메프 20%",편의점 10%
K-22(Mileage),IBK기업은행,"1,500원 당 최대 2마일리지",바우처 15만원 상당,공항라운지 연 4회
신한카드 Point Plan+,신한카드,국내 결제금액 최대 3%,주말 외식비 1천 포인트,OTT 최대 2천 포인트
신한카드 Air One,신한카드,국내/해외 1천원당 1마일,항공/면세 2배,해외 2배
신한카드 Edu Plan+,신한카드,학원비 최대 10%,3대 할인점 1%,메가박스 7천원
네이버페이 taptap,삼성카드,네이버페이 10%,커피전문점 5%,전가맹점 0.5%
메리어트 본보이™ 더 베스트 신한카드,신한카드,메리어트 참여호텔 무료숙박권,메리어트 참여호텔 이용시 5P/1천원,메리어트 본보이™ 멤버십 골드엘리트
현대백화점카드,현대백화점,현대백화점 5%,현대백화점 2시간 무료,3개월 무이자
the Purple osée,현대카드,호텔&여행&쇼핑바우처 최대4매,마일리지or포인트 선택형,공항라운지 무료
로얄블루1000카드 [SKYPASS],우리카드,기프트바우처 100만원상당,해외/면세점/항공사 2마일리지,본인 및 동반1인 PP카드
현대카드Z work Edition2,현대카드,카페 10%,온라인 쇼핑 10%,대중교통 10%
BC 바로 MACAO 카드,BC 바로카드,모든 주유소 최대 10%,장보기 최대 10%,해외 전 가맹점 2%
LOCA LIKIT Eat,롯데카드,음식점 60%,배달앱 60%,커피 60%
BeV V카드(포인트형),KB국민카드,포인트리 1.2~3.0%,프리미엄쿠폰 연 1회,해외 공항라운지 무료이용
신한카드 The CLASSIC+,신한카드,"1,500원당 1마일","1,000원당 1마일",PP카드 무료
zgm.휴가중카드,NH농협카드,해외가맹점 최대 5%,여행 20%,"항공권, 면세점 0.5%"
트래블로그 PRESTIGE 신용카드,하나카드,"1,500원 당 1마일",프리미엄 바우처 1가지,해외 가맹점 이용수수료
올바른 MYPICK 카드,NH농협카드,전세계음식점(푸드팩) 5%,쇼핑(쇼핑팩) 5%,주유소/충전소(트레블팩) 5%
ALL 우리카드 Premium,우리카드,"ALL 리워드 포인트 4,000",ALL 회원 SILVER 등급,"3,000원 당 최대 3 ALL 리워드 포인트"
대한항공카드 060,현대카드,연간 보너스 1천,1천원 당 최대 2마일리지,직판 항공권 5만원
트래블로그 신용카드,하나카드,국내외가맹점 1%,해외 가맹점 3%,항공/면세점/여행 3%
삼성 iD ENERGY 카드,삼성카드,주유 1만원,스타벅스 드라이브 스루 30%,고속도로 통행료 10%
디지로카 Paris,롯데카드,국내·해외 0.7%,온라인 쇼핑 최대 5%,
쇼핑앤조이 카드,IBK기업은행,"버스, 지하철, 택시 5%","온라인쇼핑 5,000원","스타벅스 2,000원"
삼성카드 taptap S,삼성카드,모든가맹점 1%,"모든주유소 2,000원","모든영화관 5,000원"
원더카드 FREE,하나카드,국내외가맹점 0.7%,간편결제 1.2%,쿠팡/마트/베이커리 2%
쿠팡 와우 카드,KB국민카드,쿠팡 2%,국내·외 가맹점 0.2%,
대한항공카드 the First Edition2,현대카드,연간 보너스 3만,1천원당 최대 5마일리지,직판 항공권 20만원
JADE First Centum,하나카드,바우처 60만원 상당,"전 세계 공항라운지 연 10회, 일 3회",국내 전 가맹점 최대 1.5%
